company,launches
SpaceX,38
Rocket Lab,19
Arianespace,6
United Launch Alliance,5
Russian Federal Space Agency (ROSCOSMOS),4
China Aerospace Science and Technology Corporation,4
Firefly Aerospace,3
Mitsubishi Heavy Industries,3
Innospace,2
Avio S.p.A,2
Indian Space Research Organization,2
Isar Aerospace,2
Agency for Defense Development,1
Astra Space,1
China Rocket Co. Ltd.,1
Deep Blue Aerospace,1
European Space Agency,1
Gilmour Space Technologies,1
Japan Aerospace Exploration Agency,1
Rocket Factory Augsburg,1
Korea Aerospace Research Institute,1
Northrop Grumman Space Systems,1
